x,y,interannual_variability,water_stress,pop_density_log,population_density_km2,cropland_percent,irrigated_percent,landcover_diversity,grazing_intensity_log,livestock_density_km2,soc_0_30cm_kg_m2,soc_0_30cm_t_ha,governance_perc_rank,road_density_log,shdi_2022,mean_annual_precipitation,aridity_index
37.25,44.75,NA,NA,5.29649808570664,198.636474609375,55.8390557765961,0,0.575315296649933,NA,NA,5.9770393371582,59.770393371582,NA,NA,NA,591,NA
37.75,44.75,0.847654402256012,0,5.46652426289005,235.636276245117,28.6376565694809,0,0.578169465065002,NA,NA,6.68826866149902,66.8826866149902,15.5810947418213,4.5835535624053,0.763999998569489,732.625,0.636502146720886
38.25,44.75,1.32291889190674,3.28045701980591,4.19096071168239,65.0862503051758,31.3107579946518,0,0.445046305656433,2.2608331559904,8.5910767018795,7.24481153488159,72.4481153488159,15.5810947418213,4.79519054389472,0.763999998569489,833.666687011719,0.740043520927429
38.75,44.75,0.860246479511261,0,4.20535058050484,66.0440979003906,30.4116457700729,0,0.498790591955185,2.24018883796833,8.39510527253151,7.19514799118042,71.9514799118042,15.5810947418213,4.9000878287548,0.763999998569489,897.888916015625,0.814555764198303
39.25,44.75,0.860246479511261,0,4.03313288489526,55.4374465942383,26.5301316976547,0,0.502080321311951,2.14146526234508,7.51190066337585,6.98460102081299,69.8460102081299,15.5810947418213,5.06967404281204,0.763999998569489,971.777770996094,0.899183511734009
39.75,44.75,0.918726325035095,0,4.46022714314077,85.5071563720703,32.5549751520157,0,0.585403382778168,2.26437632740402,8.625119805336,6.69337320327759,66.9337320327759,15.5810947418213,5.172981753888,0.763999998569489,1011.88891601562,0.937337517738342
-9.75,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9.25,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8.75,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8.25,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7.75,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7.25,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6.75,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6.25,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.75,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-5.25,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.75,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.25,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.75,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.25,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.75,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.25,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.75,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.25,44.25,2.01428818702698,0.717309296131134,3.70393836048774,39.6069145202637,5.84883540868759,0.0949667592067271,0.235120415687561,2.47053420680288,10.8287641704082,5.90801191329956,59.0801191329956,79.9921722412109,6.41099300055289,0.907000005245209,1058.42858886719,0.99039089679718
-0.75,44.25,2.01428818702698,0.717309296131134,2.83225129723415,15.9836530685425,10.5521887540817,0.469948071986437,0.317910850048065,2.46374519499388,10.748730532825,5.00018692016602,50.0018692016602,79.9921722412109,6.10279635767591,0.907000005245209,950.888916015625,0.918569922447205
-0.25,44.25,1.55989825725555,0,2.8762868662081,16.7482490539551,13.7066647410393,0.0926126027479768,0.345965445041656,2.29091532254609,8.88398057222366,5.07156991958618,50.7156991958618,79.9921722412109,6.02076769492002,0.907000005245209,962.777770996094,0.932835519313812
0.25,44.25,1.52199852466583,1.29628622531891,3.84908801565502,45.9502258300781,67.828893661499,0.00620405116933398,0.389782845973969,2.76000074729457,14.7998547554016,4.72634029388428,47.2634029388428,79.9921722412109,6.20134616905873,0.907000005245209,983.777770996094,0.930804014205933
